POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
3,1,0.49999987500003124,0.09090908884297526,11.0,36.36363636363637,18.94545454545455,16,23,1.4772727272727273,0,4.068181818181818
0,0,0.0,0.0,6.0,16.666666666666664,9.066666666666666,2,5,1.1666666666666667,0,3.25
4,1,0.599999880000024,0.07575757460973372,16.5,40.909090909090914,22.96363636363637,27,40,1.4696969696969697,0,4.606060606060606
2,7,-0.5555554938271674,0.13636363429752069,16.5,43.93939393939394,24.175757575757576,29,37,1.621212121212121,2,4.636363636363637
1,0,0.9999990000010001,0.09999999000000101,10.0,20.0,12.0,2,5,1.3,0,4.0
1,0,0.9999990000010001,0.499999750000125,2.0,100.0,40.800000000000004,2,2,2.5,0,9.5
1,0,0.9999990000010001,0.07692307100591762,4.333333333333333,53.84615384615385,23.271794871794874,7,10,2.230769230769231,0,5.538461538461538
3,0,0.9999996666667778,0.07499999812500005,13.333333333333334,35.0,19.333333333333336,14,19,1.5,1,4.35
2,1,0.33333322222225925,0.06666666518518523,6.428571428571429,44.44444444444444,20.34920634920635,20,28,1.488888888888889,0,4.555555555555555
1,0,0.9999990000010001,0.1428571224489825,7.0,57.14285714285714,25.65714285714286,4,4,1.5714285714285714,0,4.142857142857143
1,1,0.0,0.09090908677685969,22.0,36.36363636363637,23.345454545454547,8,11,1.4090909090909092,0,3.8636363636363638
2,1,0.33333322222225925,0.12499999479166687,12.0,25.0,14.8,6,11,1.125,0,3.4166666666666665
0,0,0.0,0.0,1.0,0.0,0.4,0,1,1.0,0,4.0
1,2,-0.33333322222225925,0.10714285331632667,14.0,32.142857142857146,18.45714285714286,9,13,1.4642857142857142,0,4.464285714285714
5,0,0.99999980000004,0.07812499877929689,64.0,39.0625,41.225,25,36,1.546875,1,4.515625
4,1,0.599999880000024,0.13157894390581729,9.5,42.10526315789473,20.642105263157895,16,19,1.4473684210526316,0,3.8947368421052633
2,0,0.99999950000025,0.09999999500000024,10.0,30.0,16.0,6,8,1.3,1,3.65
3,0,0.9999996666667778,0.07317072992266513,10.25,43.90243902439025,21.6609756097561,18,23,1.6829268292682926,0,4.829268292682927
0,0,0.0,0.0,2.0,100.0,40.800000000000004,2,2,2.5,0,6.5
1,0,0.9999990000010001,0.11111109876543349,9.0,33.33333333333333,16.933333333333334,3,5,1.3333333333333333,0,3.888888888888889
0,0,0.0,0.0,13.5,33.33333333333333,18.73333333333333,9,12,1.4074074074074074,0,4.148148148148148
3,0,0.9999996666667778,0.21428569897959293,14.0,71.42857142857143,34.17142857142857,10,13,2.0714285714285716,0,7.142857142857143
1,0,0.9999990000010001,0.199999960000008,5.0,80.0,34.0,4,4,1.8,0,5.0
2,0,0.99999950000025,0.07407407133058995,13.5,22.22222222222222,14.28888888888889,6,14,1.3333333333333333,0,3.962962962962963
4,4,0.0,0.1568627420222992,25.5,37.254901960784316,25.10196078431373,19,34,1.4509803921568627,0,4.313725490196078
1,1,0.0,0.08333332986111125,8.0,58.333333333333336,26.53333333333334,14,17,1.625,0,4.75
0,1,-0.9999990000010001,0.04347825897920613,23.0,39.130434782608695,24.85217391304348,9,19,1.3478260869565217,0,4.6521739130434785
2,0,0.99999950000025,0.399999920000016,5.0,20.0,10.0,1,2,1.2,0,3.6
5,3,0.24999996875000394,0.09411764595155711,42.5,38.82352941176471,32.529411764705884,33,46,1.423529411764706,3,4.341176470588235
2,1,0.33333322222225925,0.11538461094674572,13.0,42.30769230769231,22.123076923076923,11,15,1.6923076923076923,1,4.653846153846154
2,0,0.99999950000025,0.03999999920000002,12.5,46.0,23.400000000000002,23,30,1.58,0,4.58
1,0,0.9999990000010001,0.04999999750000012,10.0,50.0,24.0,10,12,1.5,0,4.35
0,1,-0.9999990000010001,0.16666663888889352,6.0,16.666666666666664,9.066666666666666,1,2,1.1666666666666667,0,4.333333333333333
